site.code ,onum,orchard.type,Tree,Latitude,Longitude,elevation,avgwgt,Firmness, SSC,maturity.index,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres,Pest_Index 
A,1,Organic ,1_1,34.04883,116.9434,1466,111.7,15.2,9,3,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_2,34.04883,116.9434,1466,123.7,8.4,12,3,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_3,34.04883,116.9434,1466,74,10.6,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_4,34.04883,116.9434,1466,97,14.3,10,5,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,1,Organic ,1_5,34.04883,116.9434,1466,88.3,15.8,10.5,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_1,34.04883,116.9434,1466,49.7,15.3,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_2,34.04883,116.9434,1466,38.7,9.86,12,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_3,34.04883,116.9434,1466,68,11.8,11,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_4,34.04883,116.9434,1466,73,15.4,10.5,4,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
A,2,Conventional ,2_5,34.04883,116.9434,1466,81.3,11.4,10,5,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,75,1.555555556
B,3,Organic ,3_1,35.27926,120.6921,15,138.7,20.1,13,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_2,35.27926,120.6921,15,118.3,17.8,15,5,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_3,35.27926,120.6921,15,122,20.7,12,3,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_4,35.27926,120.6921,15,120.3,20.8,13,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,3,Organic ,3_5,35.27926,120.6921,15,109.7,20.8,14,4,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,30,1.722222222
B,4,Conventional ,4_1,35.77103,120.6372,245,78,18.4,14,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_2,35.77103,120.6372,245,67,16.8,15.5,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_3,35.77103,120.6372,245,60.7,18,15.5,5,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_4,35.77103,120.6372,245,95.7,14.7,12.5,4,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
B,4,Conventional ,4_5,35.77103,120.6372,245,73.7,17.4,13,5,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,40,1.944444444
Q,5,Organic ,5_1,35.1985,119.0442,105,67.7,24.4,19,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_2,35.1985,119.0442,105,85,20.7,19,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_3,35.1985,119.0442,105,67,17.7,18.5,3,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_4,35.1985,119.0442,105,71.7,19.2,19.5,7,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
Q,5,Organic ,5_5,35.1985,119.0442,105,87.3,14.2,20,5,79.575,55.03333333,67.30833333,0,20000,1,0,1,1,0,1,0,3.5,1.611111111
D,6,Organic ,6_1,36.6386,119.5089,97,168,19,15,7,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_2,36.6386,119.5089,97,89.3,21.6,20,7,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_3,36.6386,119.5089,97,100,20.6,16,6,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_4,36.6386,119.5089,97,82.3,17.8,15.5,3,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
D,6,Organic ,6_5,36.6386,119.5089,97,82.3,18.3,18,3,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,120,1.5
E,7,Organic ,7_1,38.16262,121.205,20,200.7,19.2,14,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,7,Organic ,7_2,38.16262,121.205,20,139.7,20.2,15,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,7,Organic ,7_3,38.16262,121.205,20,128,20.8,12.5,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,7,Organic ,7_4,38.16262,121.205,20,173.7,18,13,6,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,7,Organic ,7_5,38.16262,121.205,20,144,17,15,6,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,8,Conventional ,8_1,38.16262,121.205,20,140.3,15.1,14.5,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,8,Conventional ,8_2,38.16262,121.205,20,162.3,16.9,13.5,6,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,8,Conventional ,8_3,38.16262,121.205,20,134.3,14.9,14,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,8,Conventional ,8_4,38.16262,121.205,20,185,17.2,14,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
E,8,Conventional ,8_5,38.16262,121.205,20,155.7,17.7,12.5,7,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,400,1.388888889
F,9,Conventional ,9_1,36.99562,121.7716,63,133,18.4,13.5,4,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,14,1.388888889
F,9,Conventional ,9_2,36.99562,121.7716,63,149.7,20.9,14.5,4,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,14,1.388888889
F,9,Conventional ,9_3,36.99562,121.7716,63,147,19.8,13,4,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,14,1.388888889
F,9,Conventional ,9_4,36.99562,121.7716,63,111.7,20.5,15,5,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,14,1.388888889
F,9,Conventional ,9_5,36.99562,121.7716,63,102,20.3,12,4,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,14,1.388888889
F,10,Organic ,10_1,36.9768,121.7215,53,123,23.4,12,4,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,47,2.166666667
F,10,Organic ,10_2,36.9768,121.7215,53,138.7,22.2,12.5,5,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,47,2.166666667
F,10,Organic ,10_3,36.9768,121.7215,53,111.3,20.5,13,5,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,47,2.166666667
F,10,Organic ,10_4,36.9768,121.7215,53,120.3,21.8,12,4,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,47,2.166666667
F,10,Organic ,10_5,36.9768,121.7215,53,122.7,23.4,12,5,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,47,2.166666667
G,11,Conventional ,11_1,38.4296,122.8479,55,91.3,21.1,11.5,3,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,16,2
G,11,Conventional ,11_2,38.4296,122.8479,55,85,17.6,12,4,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,16,2
G,11,Conventional ,11_3,38.4296,122.8479,55,88,19.8,13,3,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,16,2
G,11,Conventional ,11_4,38.4296,122.8479,55,78.7,19.1,12.5,3,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,16,2
G,11,Conventional ,11_5,38.4296,122.8479,55,90,22.6,12,3,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,16,2
G,12,Organic ,12_1,40.28567,123.8063,72,79,21.5,11,3,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,5,1.888888889
G,12,Organic ,12_2,40.28567,123.8063,72,94.3,21.1,12,3,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,5,1.888888889
G,12,Organic ,12_3,40.28567,123.8063,72,103.7,22.1,9.5,3,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,5,1.888888889
G,12,Organic ,12_4,40.28567,123.8063,72,87.7,21.1,11,3,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,5,1.888888889
G,12,Organic ,12_5,40.28567,123.8063,72,92.7,21.5,10,3,64.025,46.20833333,55.13333333,30.82,304,1,0,0,1,0,1,0,5,1.888888889
H,13,Organic ,13_1,44.20901,123.3281,121,96,21.4,10,3,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,3,1.888888889
H,13,Organic ,13_2,44.20901,123.3281,121,73.7,23.2,10,3,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,3,1.888888889
H,13,Organic ,13_3,44.20901,123.3281,121,68.7,22.7,9.5,3,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,3,1.888888889
H,13,Organic ,13_4,44.20901,123.3281,121,95.7,23.9,9.5,4,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,3,1.888888889
H,13,Organic ,13_5,44.20901,123.3281,121,94.7,22.4,10,3,64.7,43.46666667,54.09166667,40.58,426,0,1,0,1,0,0,0,3,1.888888889
H,14,Conventional ,14_1,44.02257,123.0045,138,91.3,30.8,9.5,3,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1.611111111
H,14,Conventional ,14_2,44.02257,123.0045,138,84,33.4,8.5,3,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1.611111111
H,14,Conventional ,14_3,44.02257,123.0045,138,98,35.2,9.5,3,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1.611111111
H,14,Conventional ,14_4,44.02257,123.0045,138,88,33.5,9,3,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1.611111111
H,14,Conventional ,14_5,44.02257,123.0045,138,94,36.6,8.5,3,64.7,43.46666667,54.09166667,40.58,72,0,0,0,1,0,0,0,4,1.611111111
I,15,Conventional ,15_1,45.51143,121.5584,591,64.7,20.9,8,3,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,50,1.444444444
I,15,Conventional ,15_2,45.51143,121.5584,591,75.7,17.4,8,3,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,50,1.444444444
I,15,Conventional ,15_3,45.51143,121.5584,591,82.7,17.2,7.5,3,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,50,1.444444444
I,15,Conventional ,15_4,45.51143,121.5584,591,109,21.7,8,3,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,50,1.444444444
I,15,Conventional ,15_5,45.51143,121.5584,591,87.7,23.4,8,3,50.63333333,35.43333333,43.025,79.83,221,1,0,1,1,1,1,0,50,1.444444444
I,16,Organic ,16_1,45.50422,121.5893,644,43.3,21.8,9,3,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,54,1.722222222
I,16,Organic ,16_2,45.50422,121.5893,644,35,23.3,8,3,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,54,1.722222222
I,16,Organic ,16_3,45.50422,121.5893,644,47.7,21.1,8.5,3,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,54,1.722222222
I,16,Organic ,16_4,45.50422,121.5893,644,51.7,20.9,8.5,3,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,54,1.722222222
I,16,Organic ,16_5,45.50422,121.5893,644,45.3,19.2,9,3,50.63333333,35.43333333,43.025,79.83,98,0,1,1,0,0,0,0,54,1.722222222
J,17,Conventional ,17_1,45.83882,121.496,161,100.7,22.7,8.5,3,60.01666667,35.99166667,48.01666667,49.44,500,1,1,1,1,1,1,0,100,1.777777778
J,17,Conventional ,17_2,45.83882,121.496,161,83.7,20.9,9,3,60.01666667,35.99166667,48.01666667,49.44,500,1,1,1,1,1,1,0,100,1.777777778
J,17,Conventional ,17_3,45.83882,121.496,161,92.7,21.3,9,3,60.01666667,35.99166667,48.01666667,49.44,500,1,1,1,1,1,1,0,100,1.777777778
J,17,Conventional ,17_4,45.83882,121.496,161,113.7,21.3,8.5,3,60.01666667,35.99166667,48.01666667,49.44,500,1,1,1,1,1,1,0,100,1.777777778
J,17,Conventional ,17_5,45.83882,121.496,161,99.3,22.6,9,3,60.01666667,35.99166667,48.01666667,49.44,500,1,1,1,1,1,1,0,100,1.777777778
K,18,Conventional ,18_1,45.69196,121.5184,172,95.3,28.1,9,3,60.95,42.46666667,51.7,29.84,339,1,1,0,1,0,0,0,110,1.888888889
K,18,Conventional ,18_2,45.69196,121.5184,172,135,24.2,9,4,60.95,42.46666667,51.7,29.84,339,1,1,0,1,0,0,0,110,1.888888889
K,18,Conventional ,18_3,45.69196,121.5184,172,85.3,25.8,9.5,3,60.95,42.46666667,51.7,29.84,339,1,1,0,1,0,0,0,110,1.888888889
K,18,Conventional ,18_4,45.69196,121.5184,172,111,26.5,10.5,3,60.95,42.46666667,51.7,29.84,339,1,1,0,1,0,0,0,110,1.888888889
K,18,Conventional ,18_5,45.69196,121.5184,172,85.7,26,10.5,4,60.95,42.46666667,51.7,29.84,339,1,1,0,1,0,0,0,110,1.888888889
L,19,Organic ,19_1,47.26603,119.9447,401,101,21.9,8,3,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,120,1.111111111
L,19,Organic ,19_2,47.26603,119.9447,401,91.7,27.6,10.5,3,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,120,1.111111111
L,19,Organic ,19_3,47.26603,119.9447,401,106.7,26.6,10,3,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,120,1.111111111
L,19,Organic ,19_4,47.26603,119.9447,401,108.7,30.5,9,3,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,120,1.111111111
L,19,Organic ,19_5,47.26603,119.9447,401,82.7,26.5,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5226,1,0,0,0,0,0,0,120,1.111111111
L,20,Conventional ,20_1,47.55188,120.2998,203,92,29.6,11,3,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,45,1.888888889
L,20,Conventional ,20_2,47.55188,120.2998,203,141,30,11,4,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,45,1.888888889
L,20,Conventional ,20_3,47.55188,120.2998,203,102,28.7,11.5,3,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,45,1.888888889
L,20,Conventional ,20_4,47.55188,120.2998,203,121.3,30.6,10,3,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,45,1.888888889
L,20,Conventional ,20_5,47.55188,120.2998,203,91.7,31.9,12.5,4,62.11666667,41.725,51.95833333,8.85,271,0,1,0,1,0,0,0,45,1.888888889
M,21,Organic ,21_1,46.97863,119.3915,390,112,28.6,9.5,4,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,21,Organic ,21_2,46.97863,119.3915,390,116,33.1,9,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,21,Organic ,21_3,46.97863,119.3915,390,117.3,30.3,8.5,4,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,21,Organic ,21_4,46.97863,119.3915,390,102,28.8,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,21,Organic ,21_5,46.97863,119.3915,390,137,30.7,9.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,22,Conventional ,22_1,46.97863,119.3915,390,112.3,25.5,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,22,Conventional ,22_2,46.97863,119.3915,390,111.7,25.8,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,22,Conventional ,22_3,46.97863,119.3915,390,114.7,27.8,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,22,Conventional ,22_4,46.97863,119.3915,390,126,26.9,9,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
M,22,Conventional ,22_5,46.97863,119.3915,390,121.3,27.3,8.5,3,63.68333333,39.45833333,51.56666667,4.23,5737,0,1,1,1,0,0,0,300,1.222222222
N,23,Organic ,23_1,48.85879,119.4922,393,141.3,21,9,4,56.35,30.45,43.40833333,18.44,317,1,0,1,1,0,0,0,80,1.333333333
N,23,Organic ,23_2,48.85879,119.4922,393,128.7,27.1,9,3,56.35,30.45,43.40833333,18.44,317,1,0,1,1,0,0,0,80,1.333333333
N,23,Organic ,23_3,48.85879,119.4922,393,117,26.7,9.5,4,56.35,30.45,43.40833333,18.44,317,1,0,1,1,0,0,0,80,1.333333333
N,23,Organic ,23_4,48.85879,119.4922,393,120.3,25.5,9.5,4,56.35,30.45,43.40833333,18.44,317,1,0,1,1,0,0,0,80,1.333333333
N,23,Organic ,23_5,48.85879,119.4922,393,123.7,24.9,9.5,5,56.35,30.45,43.40833333,18.44,317,1,0,1,1,0,0,0,80,1.333333333
P,24,Organic ,24_1,48.72351,118.1218,493,42,31.4,9.5,5,58.15833333,33.90833333,46.04166667,15.81,402,0,0,0,1,0,1,0,50,1.666666667
P,24,Organic ,24_2,48.72351,118.1218,493,30.3,30.1,10.5,5,58.15833333,33.90833333,46.04166667,15.81,402,0,0,0,1,0,1,0,50,1.666666667
P,24,Organic ,24_3,48.72351,118.1218,493,43,31.9,10.5,5,58.15833333,33.90833333,46.04166667,15.81,402,0,0,0,1,0,1,0,50,1.666666667
P,24,Organic ,24_4,48.72351,118.1218,493,34.7,33.6,10.5,5,58.15833333,33.90833333,46.04166667,15.81,402,0,0,0,1,0,1,0,50,1.666666667
P,24,Organic ,24_5,48.72351,118.1218,493,42.7,30.3,11,5,58.15833333,33.90833333,46.04166667,15.81,402,0,0,0,1,0,1,0,50,1.666666667
